"year","wind.stress","ssh","KS.slp.diff","salinity.20m","54N.134W","57N.137W","60N.146W","60N.149W","egoa.spr.sst","egoa.win.sst","wgoa.spr.sst","wgoa.win.sst","papa.index"
1950,0.115293753093761,0.105311982352915,3.49552408854167,NA,-21.3333333333333,-17,-3.33333333333333,-1,-1.18763755376072,-0.519519895814496,-0.480710728369854,-0.254242330818446,47.777
1951,0.0896522332809485,0.0682441603360537,3.28474934895833,NA,10,4.33333333333333,2.33333333333333,4.66666666666667,-0.827322846039571,-0.33074712967814,-0.733017979299842,-0.322750241581214,53.313
1952,0.0977619824247865,0.101139885183751,1.90020751953125,NA,-2.33333333333333,-3.66666666666667,2.33333333333333,4,-0.511273290656333,-0.342178139695199,-0.540387198225392,-0.274667664731082,49.818
1953,0.0981836790810363,0.112568207119801,12.5478515625,NA,-0.333333333333333,-0.666666666666667,0.333333333333333,1,0.0898321617377286,0.245779418634243,0.198585886768548,-0.0816720502299011,58.541
1954,0.0786089873789001,0.0888838486699622,8.83638509114583,NA,-15,-8.33333333333333,-2.66666666666667,-0.666666666666667,-0.283865203996268,0.133395825133606,-0.119048665706123,-0.34374810002456,55.92
1955,0.0849324664229002,0.0642851491256272,11.1546020507812,NA,-3.66666666666667,-7.33333333333333,2,6,-0.655187103642412,0.850457288435641,-0.253391633971934,0.561860127095055,50.403
1956,0.0829104660421195,0.0685690897907523,3.03120930989583,NA,-4.33333333333333,-5.66666666666667,1.33333333333333,5.33333333333333,0.402711030504723,-0.295423511695054,0.0114760713808804,-0.276660781656754,49.452
1957,0.0797107890657518,0.0610906682972369,8.02370198567708,NA,-5,-4,-2.66666666666667,-1.33333333333333,0.619936718731922,-0.392220000621916,0.752338542685044,-0.453230665013728,50.996
1958,0.101541500838267,0.164505235456665,11.8528645833333,NA,15,5,5,8.33333333333333,1.73525590045315,1.65248912168206,1.22868832269764,1.28913520604649,55.635
1959,0.0936419390932233,0.0966232558055939,8.8426513671875,NA,-5.66666666666667,-3.66666666666667,1.66666666666667,2.66666666666667,0.761313725975514,0.78926202122101,0.724858162184965,0.473502339463939,55.613
1960,0.0969274893608663,0.116519943327393,13.9070231119792,NA,-9.33333333333333,-8.33333333333333,-1,0.333333333333333,0.259635888163435,0.880944253924591,0.246434408487023,0.448476460445064,56.912
1961,0.0969126661085222,0.124924563022092,12.3538411458333,NA,-14,-14.3333333333333,-0.666666666666667,0.333333333333333,0.980598784750157,0.630515903227049,0.882513615728707,0.00385591387541934,59.619
1962,0.078493444392865,0.0668606752170155,7.62095133463542,NA,1.33333333333333,-0.333333333333333,3.33333333333333,2.33333333333333,0.541707961185654,0.348728363220565,0.105358429036153,-0.160820330092384,52.124
1963,0.0988219780642336,0.0824363124854111,8.25858561197917,NA,4.66666666666667,0,13.6666666666667,13.6666666666667,1.17509793314645,1.20678897763468,0.371200413300554,0.387763287942052,58.318
1964,0.0958097218221416,0.0742131129662637,10.3017171223958,NA,0.666666666666667,-0.666666666666667,3,1,-0.535247425868197,0.772380305079976,-0.351659693759519,0.847131431391228,58.22
1965,0.0893844583702808,0.0780605455284415,5.08406575520833,NA,0.333333333333333,-3,9,6.66666666666667,-1.03083875389615,-0.714650551127042,-0.819412828822981,-0.713495421262585,50.386
1966,0.08688235250982,0.102937506213676,4.0008544921875,NA,4.33333333333333,6.33333333333333,15.3333333333333,12,-0.423440845657557,0.0221343338994246,-0.581683531563841,-0.113349798642623,50.677
1967,0.0902756522030307,0.0618201579786559,2.72690836588542,NA,7.66666666666667,6,9.66666666666667,8.33333333333333,0.233472559194567,-0.201153824969283,0.244726293328639,-0.280423989139219,52.128
1968,0.0947069109985321,0.128261460869598,3.94720458984375,NA,-4.33333333333333,-2.66666666666667,0.333333333333333,0.333333333333333,0.134805230632537,0.0909702659471482,0.324858077510126,0.0815302916657195,54.059
1969,0.08836813731228,0.122277842570346,5.20218912760417,NA,-4.66666666666667,-4.33333333333333,5,6.33333333333333,-0.691973302993714,-1.14135928643666,-0.474290776114535,-0.722076477978856,47.16
1970,0.108189028772023,0.144889921659055,11.7917277018229,NA,-19.6666666666667,-14,4.33333333333333,4.33333333333333,0.164500279285206,0.526415699730564,0.287534503850782,0.737685097120958,59.623
1971,0.0920970980014152,0.0997447935167953,2.62361653645833,31.719,3.33333333333333,-7,5,5.33333333333333,-1.22567856756287,-0.446545631397756,-1.43891660112986,-0.0948713657496552,50.858
1972,0.0920446948806247,0.0801280154852746,4.09840901692708,31.995,-0.666666666666667,-1.33333333333333,6.33333333333333,4.33333333333333,-0.778210425999172,-1.26418259805652,-1.46104485232821,-1.3134221935713,48.873
1973,0.0823042070919173,0.106723983073009,5.49399820963542,NA,-26,-17.3333333333333,1.66666666666667,0,-0.354323076353555,-0.605272981720789,-0.457639159958383,-0.652301152391766,53.182
1974,0.0977639806789384,0.105220273027226,2.50142415364583,31.7596666666667,-6,0,8,5.66666666666667,-0.311475551504617,-0.832641174819331,-0.339330829786375,-0.562655315432185,54.093
1975,0.0821281710675425,0.103377280324671,10.4314982096354,31.4883333333333,-7,-7.33333333333333,3,1.33333333333333,-1.02809537459841,-0.360947462707539,-0.986825365959977,-0.164853673684272,51.892
1976,0.0763220891824929,0.0871711926146147,9.12884521484375,31.6535,-25.3333333333333,-11.6666666666667,2,1.33333333333333,-0.891546138579319,-0.827967913363873,-0.668859731777748,-0.571831780563494,56.161
1977,0.111955957949586,0.124049123232548,17.3314005533854,30.883,-6,0,2,2.33333333333333,0.288318790762901,0.757501471962812,0.588228101595687,0.537790350107754,59.962
